id,realty_id,total_square_meters,rooms_count,floors_count,floor,price,price_item,district_id,is_commercial,agency_id,deleted_by,delete_reason,longitude,latitude,price_usd,price_eur,price_uah
realty-16197621,16197621,102,3,5,2,450,4,15089,1,24288,cron,1,,,450,400,12 262
realty-16207635,16207635,47,2,6,4,7500,160,15092,1,24288,cron,1,,,275,244,7 500
realty-16856117,16856117,45,1,10,4,9500,211,15090,1,24288,cron,1,,,349,310,9 500
realty-15891173,15891173,60,2,18,3,8000,133,15087,1,24288,cron,1,,,294,261,8 000
realty-15757209,15757209,35,1,4,2,8000,229,15092,1,24288,cron,1,,,294,261,8 000
realty-15593196,15593196,80,3,6,4,8500,106,15088,1,24288,cron,1,,,312,277,8 500
realty-16148558,16148558,100,3,4,3,1000,10,15087,0,,cron,1,,,1 000,888,27 248
realty-17341462,17341462,107,3,2,2,15000,140,15091,0,,,,24.014499,49.826841,551,489,15 000
realty-17340881,17340881,45,1,9,3,5500,122,15088,0,,,,,,202,179,5 500
realty-17340876,17340876,22,1,4,1,3500,159,15089,0,,,,,,128,114,3 500
realty-17340843,17340843,22,1,2,1,3000,136,15089,0,,,,,,110,98,3 000
realty-17335915,17335915,65,1,1,0,16300,251,0,1,24021,,,,,598,531,16 300
realty-16245465,16245465,60,2,4,2,450,8,15087,1,24288,,,,,450,400,12 262
realty-16245303,16245303,50,1,3,2,500,10,15087,1,24288,,,,,500,444,13 624
realty-15755101,15755101,42,1,9,4,7000,167,15089,1,24288,cron,1,,,257,228,7 000
realty-15754962,15754962,67,3,9,4,8500,127,15091,1,24288,cron,1,,,312,277,8 500
realty-16180627,16180627,64,2,9,3,8500,133,15092,1,24288,cron,1,,,312,277,8 500
realty-15593274,15593274,65,2,5,3,8000,123,15091,1,24288,cron,1,,,294,261,8 000
realty-15888814,15888814,85,3,9,3,9800,115,15088,1,24288,cron,1,,,360,319,9 800
realty-12259545,12259545,64,2,5,2,7500,117,15778,1,24288,cron,1,,,275,244,7 500
realty-12290562,12290562,81,3,6,4,8500,105,15091,1,24288,cron,1,,,312,277,8 500
realty-12239297,12239297,47,1,9,5,6900,147,15088,1,24288,cron,1,,,253,225,6 900
realty-12310007,12310007,56,2,10,5,7000,125,15089,1,24288,cron,1,,,257,228,7 000
realty-17331615,17331615,34,1,5,5,5500,162,15091,1,26457,,,,,202,179,5 500
realty-17328680,17328680,54,1,12,2,9500,176,0,1,24021,,,,,349,310,9 500
realty-12417748,12417748,37,1,9,3,6100,,15088,1,24288,cron,1,,,224,199,6 100
realty-17324537,17324537,56,2,4,1,630,11,15087,1,24021,,,,,630,560,17 166
realty-16197656,16197656,81,3,16,10,500,6,15767,1,24288,cron,,,,500,444,13 624
realty-16197640,16197640,68,3,9,3,10500,154,15091,1,24288,cron,1,,,385,342,10 500
realty-16207699,16207699,97,3,9,5,400,4,15088,1,24288,cron,1,,,400,355,10 899
realty-16187680,16187680,48,2,9,1,8000,167,15089,1,24288,cron,1,,,294,261,8 000
realty-16206457,16206457,59,1,10,6,8000,136,15088,1,24288,cron,1,,,294,261,8 000
realty-12342923,12342923,54,2,4,3,8500,157,15087,1,24288,cron,1,24.01589025915474,49.83729101828839,312,277,8 500
realty-16187716,16187716,70,2,14,2,9000,129,15092,1,24288,cron,1,,,330,293,9 000
realty-16197647,16197647,150,3,6,3,9000,60,15091,1,24288,cron,1,,,330,293,9 000
realty-16187799,16187799,67,2,11,7,9000,134,15091,1,24288,cron,1,,,330,293,9 000
realty-16187660,16187660,70,2,6,2,8000,114,15092,1,24288,cron,1,,,294,261,8 000
realty-16187740,16187740,65,2,12,10,9000,138,15091,1,24288,cron,1,,,330,293,9 000
realty-16187524,16187524,53,2,15,12,370,7,15091,1,24288,cron,1,,,370,329,10 082
realty-16187627,16187627,38,1,12,9,7700,203,15092,1,24288,cron,1,,,283,251,7 700
realty-16187555,16187555,41,1,5,2,7500,183,15089,1,24288,cron,1,,,275,244,7 500
realty-16187582,16187582,50,1,2,1,7200,144,15090,1,24288,cron,1,,,264,235,7 200
realty-12636189,12636189,69,2,3,3,9000,130,15091,1,24288,cron,1,,,330,293,9 000
realty-12296577,12296577,56,2,4,2,7500,,15092,1,24288,cron,1,,,275,244,7 500
realty-12296413,12296413,47,2,5,3,7200,153,15091,1,24288,cron,1,,,264,235,7 200
realty-15860171,15860171,101,3,9,5,9500,94,15092,1,24288,cron,1,,,349,310,9 500
realty-12290384,12290384,51,2,3,2,7900,155,15087,1,24288,cron,1,,,290,258,7 900
realty-15909039,15909039,75,2,7,6,10000,133,15089,1,24288,cron,1,,,367,326,10 000
realty-12239172,12239172,39,1,4,3,7500,192,15088,1,24288,cron,1,,,275,244,7 500
realty-12115671,12115671,58,2,3,3,8500,,15087,1,24288,cron,1,24.02949442327826,49.83831105127785,312,277,8 500
realty-17062003,17062003,55,2,3,2,350,6,15089,1,24021,cron,,,,350,311,9 537
realty-17316196,17316196,60,2,7,1,350,6,15087,1,24021,,,,,350,311,9 537
realty-15395653,15395653,47,1,9,6,8000,170,15088,1,24288,cron,,,,294,261,8 000
realty-14346816,14346816,60,2,5,1,6500,108,15087,0,,cron,1,,,239,212,6 500
realty-14985152,14985152,40,1,4,3,5000,125,15087,0,,cron,1,,,184,163,5 000
realty-14543469,14543469,65,2,9,4,7000,108,15767,0,,cron,1,,,257,228,7 000
realty-17019753,17019753,46,1,3,2,6500,141,15087,0,,cron,,24.0245729,49.8470105,239,212,6 500
realty-16856624,16856624,68,2,5,5,8000,118,15087,1,24288,cron,1,,,294,261,8 000
realty-16856308,16856308,69,2,10,2,8000,116,15090,1,24288,cron,1,,,294,261,8 000
realty-16856237,16856237,46,2,2,2,8500,185,15088,1,24288,cron,1,,,312,277,8 500
